date,time,qty.dispensed,ili.rate,drug.shortages,drug.rcs,season,temperature,humidity,weather
1/1/2024,0:00,15,0.7,1,104,Winter,35.7,44,clear
1/1/2024,6:00,21,1.6,0,103,Winter,36.5,49,clear
1/1/2024,12:00,23,2.1,0,108,Winter,22.4,50,clouds
1/1/2024,18:00,41,2.9,0,151,Winter,24.3,82,rain
1/2/2024,0:00,23,3.8,0,115,Winter,25.8,88,snow
1/2/2024,6:00,28,2.8,1,139,Winter,27.7,85,rain
1/2/2024,12:00,17,0.4,0,139,Winter,27.8,45,clear
1/2/2024,18:00,23,2.6,0,121,Winter,31,55,clouds
1/3/2024,0:00,24,2.1,0,129,Winter,27,59,clouds
1/3/2024,6:00,25,2.2,0,124,Winter,35.8,51,clouds
1/3/2024,12:00,22,3.7,0,125,Winter,32.1,89,rain
1/3/2024,18:00,27,2.2,0,139,Winter,33.2,62,clouds
1/4/2024,0:00,15,0.6,0,110,Winter,41.1,48,clear
1/4/2024,6:00,29,3.6,0,102,Winter,28.5,81,snow
1/4/2024,12:00,12,0.9,0,105,Winter,34.1,50,clear
1/4/2024,18:00,15,1.8,0,102,Winter,25,43,clear
1/5/2024,0:00,11,0.7,0,123,Winter,34.8,69,clouds
1/5/2024,6:00,26,3.6,0,115,Winter,30.1,76,snow
1/5/2024,12:00,22,2.2,0,141,Winter,25.5,84,rain
1/5/2024,18:00,22,0.8,1,123,Winter,39.1,47,clear
1/6/2024,0:00,31,5.1,0,129,Winter,28.2,79,snow
1/6/2024,6:00,17,1.7,0,116,Winter,22.8,64,clouds
1/6/2024,12:00,12,0.6,0,125,Winter,22.1,43,clear
1/6/2024,18:00,43,4.4,1,99,Winter,32.1,93,snow
1/7/2024,0:00,25,2.6,0,145,Winter,42.1,49,clouds
1/7/2024,6:00,19,2.9,0,112,Winter,22.5,84,rain
1/7/2024,12:00,12,0.1,0,127,Winter,36.8,31,clear
1/7/2024,18:00,27,3.2,0,140,Winter,25.4,62,rain
1/8/2024,0:00,32,3.8,0,110,Winter,34.5,78,snow
1/8/2024,6:00,21,1.5,0,111,Winter,47.7,32,clear
1/8/2024,12:00,21,2.2,0,109,Winter,31.9,41,clouds
1/8/2024,18:00,19,3.5,1,124,Winter,41,75,snow
1/9/2024,0:00,14,1.1,0,132,Winter,39.8,42,clear
