date,time,qty.dispensed,ili.rate,drug.shortages,drug.rcs,season,temperature,humidity,weather,timestamp,month
1/1/2024,0:00,24,2.4,0,129,Winter,35.7,44,clear,2024-01-01 00:00:00,1
1/1/2024,6:00,22,2.5,0,105,Winter,36.5,49,clear,2024-01-01 06:00:00,1
1/1/2024,12:00,51,5.1,0,158,Winter,22.4,50,clouds,2024-01-01 12:00:00,1
1/1/2024,18:00,28,4.4,0,119,Winter,24.3,82,rain,2024-01-01 18:00:00,1
1/2/2024,0:00,36,5.0,1,107,Winter,25.8,88,snow,2024-01-02 00:00:00,1
1/2/2024,6:00,30,3.9,0,124,Winter,27.7,85,rain,2024-01-02 06:00:00,1
1/2/2024,12:00,29,3.5,0,102,Winter,27.8,45,clear,2024-01-02 12:00:00,1
1/2/2024,18:00,42,5.4,1,127,Winter,31.0,55,clouds,2024-01-02 18:00:00,1
1/3/2024,0:00,35,5.0,0,132,Winter,27.0,59,clouds,2024-01-03 00:00:00,1
1/3/2024,6:00,33,3.4,1,142,Winter,35.8,51,clouds,2024-01-03 06:00:00,1
1/3/2024,12:00,26,3.8,0,132,Winter,32.1,89,rain,2024-01-03 12:00:00,1
1/3/2024,18:00,28,2.4,0,101,Winter,33.2,62,clouds,2024-01-03 18:00:00,1
1/4/2024,0:00,19,2.5,0,116,Winter,41.1,48,clear,2024-01-04 00:00:00,1
1/4/2024,6:00,43,5.3,0,146,Winter,28.5,81,snow,2024-01-04 06:00:00,1
1/4/2024,12:00,19,2.3,1,100,Winter,34.1,50,clear,2024-01-04 12:00:00,1
1/4/2024,18:00,33,4.1,0,122,Winter,25.0,43,clear,2024-01-04 18:00:00,1
1/5/2024,0:00,18,2.5,0,119,Winter,34.8,69,clouds,2024-01-05 00:00:00,1
1/5/2024,6:00,31,4.3,0,141,Winter,30.1,76,snow,2024-01-05 06:00:00,1
1/5/2024,12:00,31,3.4,0,128,Winter,25.5,84,rain,2024-01-05 12:00:00,1
1/5/2024,18:00,12,2.2,0,109,Winter,39.1,47,clear,2024-01-05 18:00:00,1
1/6/2024,0:00,30,4.9,0,116,Winter,28.2,79,snow,2024-01-06 00:00:00,1
1/6/2024,6:00,25,3.4,0,121,Winter,22.8,64,clouds,2024-01-06 06:00:00,1
1/6/2024,12:00,26,3.6,0,97,Winter,22.1,43,clear,2024-01-06 12:00:00,1
1/6/2024,18:00,37,4.0,0,139,Winter,32.1,93,snow,2024-01-06 18:00:00,1
1/7/2024,0:00,30,4.0,0,118,Winter,42.1,49,clouds,2024-01-07 00:00:00,1
1/7/2024,6:00,28,3.8,1,111,Winter,22.5,84,rain,2024-01-07 06:00:00,1
1/7/2024,12:00,34,4.0,0,131,Winter,36.8,31,clear,2024-01-07 12:00:00,1
1/7/2024,18:00,20,3.8,1,96,Winter,25.4,62,rain,2024-01-07 18:00:00,1
